Date,Region,Person,Product,Category,Quantity,UnitPrice,TotalSales,DayOfWeek,Month,Quarter
2025-01-01,近畿,高橋美咲,製品D,単発,2,133420,266840,Wednesday,1,1
2025-01-01,関東,鈴木一郎,製品A,サブスク,2,61721,123442,Wednesday,1,1
2025-01-01,東北,伊藤健太,製品E,追加オプション,3,28634,85902,Wednesday,1,1
2025-01-01,中国,中村愛,サービスY,保守,4,202742,810968,Wednesday,1,1
2025-01-01,東北,高橋美咲,サービスY,保守,2,168974,337948,Wednesday,1,1
2025-01-01,関東,鈴木一郎,製品D,単発,3,91711,275133,Wednesday,1,1
2025-01-01,関東,中村愛,製品A,サブスク,3,72228,216684,Wednesday,1,1
2025-01-01,北海道,中村愛,製品B,単発,4,100905,403620,Wednesday,1,1
2025-01-01,関東,高橋美咲,製品A,サブスク,5,62320,311600,Wednesday,1,1
2025-01-01,関東,高橋美咲,製品E,追加オプション,5,40563,202815,Wednesday,1,1
2025-01-01,近畿,高橋美咲,製品A,サブスク,4,70917,283668,Wednesday,1,1
2025-01-01,関東,鈴木一郎,サービスY,保守,3,206879,620637,Wednesday,1,1
2025-01-01,中国,鈴木一郎,製品C,サブスク,2,46821,93642,Wednesday,1,1
2025-01-01,関東,高橋美咲,製品C,サブスク,4,46802,187208,Wednesday,1,1
2025-01-01,中国,山本大輔,製品D,単発,2,82075,164150,Wednesday,1,1
2025-01-01,東北,鈴木一郎,製品B,単発,4,105875,423500,Wednesday,1,1
2025-01-01,関東,高橋美咲,製品B,単発,2,106162,212324,Wednesday,1,1
2025-01-01,北海道,伊藤健太,製品C,サブスク,5,29094,145470,Wednesday,1,1
2025-01-01,東北,佐藤花子,サービスX,保守,3,271944,815832,Wednesday,1,1
2025-01-01,関東,伊藤健太,製品A,サブスク,5,48985,244925,Wednesday,1,1
2025-01-01,九州,山本大輔,製品A,サブスク,2,50818,101636,Wednesday,1,1
2025-01-01,北海道,田中太郎,製品A,サブスク,4,83925,335700,Wednesday,1,1
2025-01-02,四国,伊藤健太,サービスX,保守,2,235693,471386,Thursday,1,1
2025-01-02,関東,高橋美咲,製品B,単発,1,87501,87501,Thursday,1,1
2025-01-02,中国,山本大輔,サービスY,保守,2,165734,331468,Thursday,1,1
2025-01-02,近畿,高橋美咲,製品E,追加オプション,1,23819,23819,Thursday,1,1
2025-01-02,東北,田中太郎,サービスY,保守,3,159450,478350,Thursday,1,1
2025-01-02,近畿,高橋美咲,製品A,サブスク,1,55080,55080,Thursday,1,1
2025-01-02,関東,鈴木一郎,製品E,追加オプション,3,33285,99855,Thursday,1,1
2025-01-02,北海道,田中太郎,製品C,サブスク,5,47001,235005,Thursday,1,1
2025-01-02,近畿,渡辺さくら,製品B,単発,4,106402,425608,Thursday,1,1
2025-01-02,関東,田中太郎,製品B,単発,4,136666,546664,Thursday,1,1
2025-01-02,中部,山本大輔,サービスY,保守,3,164978,494934,Thursday,1,1
2025-01-02,中国,中村愛,サービスY,保守,1,207407,207407,Thursday,1,1
2025-01-02,関東,佐藤花子,製品E,追加オプション,5,46558,232790,Thursday,1,1
2025-01-02,九州,田中太郎,サービスX,保守,5,258627,1293135,Thursday,1,1
2025-01-02,近畿,鈴木一郎,製品A,サブスク,3,69331,207993,Thursday,1,1
2025-01-02,関東,伊藤健太,製品E,追加オプション,4,25655,102620,Thursday,1,1
2025-01-02,近畿,佐藤花子,製品C,サブスク,5,61363,306815,Thursday,1,1
2025-01-02,関東,渡辺さくら,製品B,単発,2,110451,220902,Thursday,1,1
2025-01-02,関東,佐藤花子,製品E,追加オプション,3,30915,92745,Thursday,1,1
2025-01-02,近畿,高橋美咲,製品B,単発,2,106236,212472,Thursday,1,1
2025-01-03,関東,鈴木一郎,製品A,サブスク,4,67359,269436,Friday,1,1
2025-01-03,北海道,伊藤健太,製品A,サブスク,4,62236,248944,Friday,1,1
2025-01-03,関東,伊藤健太,サービスY,保守,4,213989,855956,Friday,1,1
2025-01-03,関東,中村愛,サービスY,保守,2,236146,472292,Friday,1,1
2025-01-03,近畿,山本大輔,製品B,単発,5,108579,542895,Friday,1,1
2025-01-03,近畿,伊藤健太,製品D,単発,2,93576,187152,Friday,1,1
2025-01-03,関東,渡辺さくら,製品B,単発,5,123406,617030,Friday,1,1
2025-01-03,関東,渡辺さくら,製品B,単発,2,96713,193426,Friday,1,1
2025-01-03,関東,中村愛,製品B,単発,1,112506,112506,Friday,1,1
2025-01-03,中部,鈴木一郎,製品D,単発,1,145639,145639,Friday,1,1
2025-01-03,中部,中村愛,製品B,単発,3,88339,265017,Friday,1,1
2025-01-03,四国,伊藤健太,製品A,サブスク,2,70553,141106,Friday,1,1
2025-01-03,関東,山本大輔,サービスX,保守,1,197376,197376,Friday,1,1
2025-01-03,関東,伊藤健太,製品E,追加オプション,1,33711,33711,Friday,1,1
2025-01-03,関東,田中太郎,製品E,追加オプション,1,33470,33470,Friday,1,1
2025-01-03,関東,田中太郎,製品D,単発,1,160091,160091,Friday,1,1
2025-01-03,九州,田中太郎,製品C,サブスク,3,49155,147465,Friday,1,1
2025-01-03,関東,田中太郎,サービスX,保守,2,289807,579614,Friday,1,1
2025-01-03,近畿,高橋美咲,製品D,単発,4,131963,527852,Friday,1,1
2025-01-03,近畿,佐藤花子,製品E,追加オプション,3,46515,139545,Friday,1,1
2025-01-03,関東,田中太郎,製品B,単発,2,164214,328428,Friday,1,1
2025-01-03,関東,渡辺さくら,製品C,サブスク,4,71603,286412,Friday,1,1
2025-01-03,近畿,鈴木一郎,製品E,追加オプション,3,47513,142539,Friday,1,1
2025-01-03,関東,鈴木一郎,製品D,単発,5,121351,606755,Friday,1,1
2025-01-03,近畿,山本大輔,製品C,サブスク,4,39465,157860,Friday,1,1
2025-01-03,関東,佐藤花子,製品A,サブスク,1,89965,89965,Friday,1,1
2025-01-03,東北,佐藤花子,製品E,追加オプション,5,35970,179850,Friday,1,1
2025-01-03,関東,中村愛,製品C,サブスク,4,49086,196344,Friday,1,1
2025-01-03,近畿,伊藤健太,製品E,追加オプション,1,26970,26970,Friday,1,1
2025-01-03,中部,伊藤健太,サービスY,保守,4,176495,705980,Friday,1,1
2025-01-04,東北,鈴木一郎,製品C,サブスク,2,18549,37098,Saturday,1,1
2025-01-04,中国,高橋美咲,製品B,単発,5,59663,298315,Saturday,1,1
2025-01-04,近畿,伊藤健太,製品A,サブスク,5,25531,127655,Saturday,1,1
2025-01-04,中部,渡辺さくら,製品C,サブスク,4,30895,123580,Saturday,1,1
2025-01-04,関東,伊藤健太,製品E,追加オプション,1,19754,19754,Saturday,1,1
2025-01-04,近畿,中村愛,サービスX,保守,4,142547,570188,Saturday,1,1
2025-01-04,中国,中村愛,サービスX,保守,2,172610,345220,Saturday,1,1
2025-01-04,四国,鈴木一郎,製品A,サブスク,4,39542,158168,Saturday,1,1
2025-01-04,関東,中村愛,製品E,追加オプション,1,17351,17351,Saturday,1,1
2025-01-04,関東,鈴木一郎,製品B,単発,2,52073,104146,Saturday,1,1
2025-01-04,関東,山本大輔,製品D,単発,3,63474,190422,Saturday,1,1
2025-01-04,東北,田中太郎,製品E,追加オプション,5,31544,157720,Saturday,1,1
2025-01-04,関東,鈴木一郎,製品D,単発,3,55686,167058,Saturday,1,1
2025-01-04,東北,山本大輔,製品B,単発,3,45267,135801,Saturday,1,1
2025-01-04,北海道,高橋美咲,製品E,追加オプション,2,20617,41234,Saturday,1,1
2025-01-04,関東,渡辺さくら,サービスX,保守,2,105155,210310,Saturday,1,1
2025-01-04,関東,渡辺さくら,製品B,単発,5,76454,382270,Saturday,1,1
2025-01-04,関東,高橋美咲,製品B,単発,3,59501,178503,Saturday,1,1
2025-01-04,関東,渡辺さくら,サービスY,保守,1,102670,102670,Saturday,1,1
2025-01-04,中部,佐藤花子,サービスY,保守,1,123694,123694,Saturday,1,1
2025-01-04,近畿,高橋美咲,製品E,追加オプション,3,15904,47712,Saturday,1,1
2025-01-04,近畿,渡辺さくら,サービスX,保守,3,193442,580326,Saturday,1,1
2025-01-04,近畿,渡辺さくら,サービスY,保守,1,86593,86593,Saturday,1,1
2025-01-04,近畿,山本大輔,サービスX,保守,2,125271,250542,Saturday,1,1
2025-01-04,近畿,佐藤花子,製品E,追加オプション,4,22440,89760,Saturday,1,1
2025-01-04,九州,中村愛,製品D,単発,1,56738,56738,Saturday,1,1
2025-01-04,関東,高橋美咲,製品C,サブスク,4,26719,106876,Saturday,1,1
2025-01-04,九州,田中太郎,製品E,追加オプション,5,21761,108805,Saturday,1,1
2025-01-04,九州,佐藤花子,製品A,サブスク,5,36580,182900,Saturday,1,1
2025-01-04,東北,佐藤花子,サービスY,保守,4,142546,570184,Saturday,1,1
2025-01-04,近畿,高橋美咲,製品D,単発,2,78275,156550,Saturday,1,1
2025-01-04,関東,鈴木一郎,製品B,単発,2,47260,94520,Saturday,1,1
